# Serie 	oombe	parmbe	gmbe 	mbea imbea pmbe
Mti	2.43219	2.5551	0.074622	 14.983291 5.528271 6.504827
WA	1.41229	0.535968	0.008529	0.837775 1.054884 0.922471
TM	4.087	0.948649	0.107109	 87.376755 18.929641 68.17974
AM	11.7958	13.436	0.190287	 131.873252 39.049514 887.640736
WC	12.8957	2.22515	0.630477	 117.219723 29.827934 1143.290931
YG	112.834	9.43916	0.813667	 1214.139054 314.32115 141.711864
SO	758.113	691.286	25.416457	 10814.03293 4532.98126 10754.70887
Pa	19.4803	7.13747	0.112092	 46.716786 18.661235 53944.64387
IM	147.289	122.764	1.75973	 952.719043 419.618134 9018.419988
EE	1254.51	395.788	12.839398	7104.820327 2385.79906 2369.977056
BX	8367.2	892.349	50.146872	 74470.7709 32039.63762 9184.331767
GH	8524.56	2411.706	132.267004  58198.89491 30800.21629 7320.837675
